RgSerialNO,UI,Location,ProductModel,ReceiveDate,Problem,Requisition,Solution,SolvedBy,Speciality,DeliveryDate
1228,Male,CHO,HP CPU,01-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,01-07-25
1229,Male,CHO,HP Laptop,01-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,01-07-25
1230,Male,CHO,Acer CPU,01-07-25,OS Problem,No,Ready,Shajal,Monitor,Out
1231,Male,Arkay,HP Printer,01-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,10-07-25
1232,Male,Arkay,HP CPU,01-07-25,HDD,Yes,Ready,Sarju,CPU,13-07-25
1233,Male,Arkay,Acer CPU,01-07-25,Not Work,No,Ready,Shajal,Monitor,02-07-25
1234,Male,Arkay,Dell CPU,01-07-25,Not Work,No,Ready,Sarju,CPU,11-07-25
1235,Male,AFL,Dell CPU,01-07-25,Not Work,No,Ready,Sarju,CPU,02-07-25
1236,Male,CHO,Dell Monitor,01-07-25,Display,No,Ready,Shajal,Monitor,Out
1237,Male,CHO,Dell Monitor,01-07-25,Display,Yes,Replace,Shajal,Monitor,01-07-25
1238,Male,NKK,Dell Monitor,01-07-25,Not Work,No,Ready,Sarju,Monitor,02-07-25
1239,Male,CHO,Lenovo Laptop,02-07-25,Keyboard/Touchpad,No,Ready,Shajal,Monitor,02-07-25
1240,Male,CHO,HP Laptop,02-07-25,Not Work,No,Ready,Shajal,Monitor,02-07-25
1241,Male,CHO,Dell Laptop,02-07-25,Not Work,No,Ready,Shuvo,Laptop,02-07-25
1242,Male,CHO,Dell Laptop,02-07-25,Not Work,No,Ready,Shajal,Monitor,02-07-25
1243,Male,Cortz,Projector,02-07-25,Not Work,No,Ready,Shajal,Monitor,05-07-25
1244,Male,Cortz,Acer CPU,02-07-25,Not Work,No,Ready,Sarju,CPU,10-07-25
1245,Male,Arkay,HP CPU,03-07-25,Auto-Restart,No,Ready,Shuvo,Laptop,03-07-25
1246,Male,CHO,Lenovo Laptop,03-07-25,Keyboard/Touchpad,No,Ready,Shajal,Monitor,04-07-25
1247,Male,CHO,Acer CPU,03-07-25,OS Problem,No,Ready,Sarju,CPU,03-07-25
1248,Male,CHO,Dell CPU,03-07-25,OS Problem,No,Ready,Shajal,Monitor,03-07-25
1249,Male,CHO,Dell CPU,03-07-25,Slow/Hang Problem,No,Ready,Sarju,CPU,03-07-25
1250,Male,NKK,Dell Laptop,03-07-25,Display,No,Ready,Shajal,Monitor,04-07-25
1251,Male,Arkay,Dell Laptop,03-07-25,HDD,Yes,Ready,Shajal,Monitor,04-07-25
1252,Male,Arkay,Dell Laptop,03-07-25,Not Work,No,Ready,Shajal,Monitor,07-07-25
1253,Male,Arkay,Dell CPU,03-07-25,Not Work,No,Ready,Sarju,CPU,09-07-25
1254,Male,Safa,Epson Printer,03-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,07-07-25
1255,Male,CHO,HP CPU,03-07-25,SSD,Yes,Ready,Shajal,Monitor,05-07-25
1256,Male,Hamza,Acer Monitor,03-07-25,Not Work,No,Replace,Shajal,Monitor,04-07-25
1257,Male,CHO,Dell Laptop,05-07-25,Motherboard,Yes,Servicing Issue,Sarju,CPU,15-07-25
1258,Male,Nafa,Dell Monitor,05-07-25,Display,No,Ready,Sarju,Monitor,06-07-25
1259,Male,CHO,Acer CPU,05-07-25,Battery,Yes,Ready,Shajal,Monitor,06-07-25
1260,Male,CHO,HP Printer,05-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,09-07-25
1261,Male,CHO,HP Laptop,07-07-25,HDD,Yes,Ready,Shuvo,Laptop,09-07-25
1262,Male,CHO,Asus CPU,07-07-25,OS Problem,No,Ready,Sarju,CPU,08-07-25
1263,Male,CHO,Lenovo Laptop,07-07-25,HDD,Yes,Ready,Sarju,CPU,08-07-25
1264,Male,CHO,Epson Printer,07-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,07-07-25
1265,Male,Cortz,Dell Laptop,07-07-25,SSD,Yes,Ready,Sarju,CPU,09-07-25
1266,Male,Cortz,Acer Laptop,07-07-25,Slow/Hang Problem,No,Ready,Shuvo,Laptop,08-07-25
1267,Male,CHO,HP Laptop,07-07-25,New Laptop/CPU,Yes,Ready,Shuvo,Monitor,08-07-25
1268,Male,NKK,UPS,07-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,13-07-25
1269,Male,CHO,UPS,07-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,13-07-25
1270,Male,Cortz,Dell Monitor,07-07-25,Display,No,Ready,Sarju,Monitor,08-07-25
1271,Male,ACCL,Acer CPU,07-07-25,Not Work,No,Ready,Sarju,CPU,08-07-25
1272,Male,ACCL,Asus CPU,07-07-25,Slow/Hang Problem,No,Ready,Sarju,CPU,08-07-25
1273,Male,CHO,Acer CPU,07-07-25,Not Work,No,Ready,Shajal,Monitor,10-07-25
1274,Male,Arkay,Dell CPU,07-07-25,Not Work,No,Ready,Sarju,CPU,12-07-25
1275,Male,Arkay,Canon Printer,07-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,10-07-25
1276,Male,Safa,Acer Monitor,07-07-25,Display,Yes,Replace,Sarju,Monitor,15-07-25
1277,Male,Safa,UPS,07-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,15-07-25
1278,Male,Safa,UPS,07-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,15-07-25
1279,Male,CHO,HP Laptop,08-07-25,Slow/Hang Problem,No,Ready,Shajal,Monitor,08-07-25
1280,Male,CHO,Acer Laptop,08-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,08-07-25
1281,Male,CHO,Lenovo Laptop,08-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,08-07-25
1282,Male,CHO,Dell CPU,08-07-25,New Laptop/CPU,Yes,Ready,Shuvo,Monitor,08-07-25
1283,Male,CHO,Dell CPU,08-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,08-07-25
1284,Male,CHO,HP Printer,08-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,09-07-25
1285,Male,Hamza,HP Laptop,08-07-25,Not Work,No,Ready,Shuvo,Laptop,09-07-25
1286,Male,Hamza,Canon Printer,08-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,09-07-25
1287,Male,CHO,HP CPU,09-07-25,New Laptop/CPU,Yes,Ready,Shuvo,Monitor,09-07-25
1288,Male,CHO,Lenovo Laptop,09-07-25,Not Work,No,Ready,Shuvo,Laptop,09-07-25
1289,Male,Cortz,Canon Printer,09-07-25,Print Problem,No,Ready,Moshiur,Monitor,14-07-25
1290,Male,CHO,Dell CPU,09-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,09-07-15
1291,Male,CHO,Canon Printer,09-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,13-07-25
1292,Male,CHO,Canon Printer,09-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,13-07-25
1293,Male,Nafa,HP Laptop,09-07-25,OS Problem,No,Ready,Sarju,CPU,10-07-25
1294,Male,CHO,Dell Laptop,09-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,09-07-25
1295,Male,CHO,Acer Laptop,10-07-25,Slow/Hang Problem,No,Ready,Shajal,Monitor,10-07-25
1296,Male,ACML,Acer CPU,10-07-25,Not Work,No,Ready,Shajal,Monitor,15-07-25
1297,Male,ACML,Canon Printer,10-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,15-07-25
1298,Male,Hamza,Projector,10-07-25,Not Work,No,Ready,Shajal,Monitor,14-07-25
1299,Male,Cortz,Asus CPU,10-07-25,Not Work,No,Ready,Sarju,CPU,14-07-25
1300,Male,Azmeri,UPS,10-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,13-07-25
1301,Male,CHO,Lenovo Laptop,10-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,11-07-25
1302,Male,NKK,HP Laptop,11-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,13-07-25
1303,Male,CHO,Printer,11-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,14-07-25
1304,Male,CHO,Printer,12-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,14-07-25
1305,Male,CHO,HP Laptop,12-07-25,Keyboard/Touchpad,No,Ready,Shajal,Monitor,14-07-25
1306,Male,CHO,HP CPU,13-07-25,Auto-Restart,No,Ready,Shajal,Monitor,13-07-25
1307,Male,Nafa,UPS,13-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,16-07-25
1308,Male,CHO,Dell CPU,13-07-25,OS Problem,No,Ready,Sarju,CPU,15-07-25
1309,Male,CHO,Dell Laptop,13-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,13-07-25
1310,Male,Cortz,Canon Printer,13-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,15-07-25
1311,Male,Arkay,HP Printer,13-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,17-07-25
1312,Male,Arkay,UPS,13-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,15-07-25
1313,Male,Arkay,Dell CPU,13-07-25,Not Work,No,Ready,Sarju,CPU,15-07-25
1314,Male,CHO,Lenovo Laptop,13-07-25,New Laptop/CPU,Yes,Ready,Shuvo,Laptop,13-07-25
1315,Male,ACCL,Scanner,13-07-25,Not Work,No,Ready,Shajal,Monitor,14-07-25
1316,Male,CHO,HP Laptop,13-07-25,Keyboard/Touchpad,No,Ready,Shajal,Monitor,14-07-25
1317,Male,Badda Parking,Dell CPU,13-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,14-07-25
1318,Male,Badda Parking,Dell CPU,13-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,14-07-25
1319,Male,CHO,HP Laptop,14-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,14-07-15
1320,Male,CHO,HP Printer,14-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,18-07-25
1321,Male,CHO,Dell Laptop,14-07-25,Broken Issue,Yes,Ready,Shajal,Monitor,18-07-25
1322,Male,CHO,Dell Laptop,14-07-25,Not Work,No,Ready,Sarju,CPU,14-07-25
1323,Male,CHO,Asus CPU,14-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,15-07-25
1324,Male,CHO,Epson Printer,14-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,15-07-25
1325,Male,CHO,HP Laptop,14-07-25,HDD,Yes,Ready,Sarju,CPU,15-07-25
1326,Male,Arkay,Dell CPU,14-07-25,Not Work,No,Ready,Shajal,Monitor,Out
1327,Male,CHO,HP Printer,14-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,18-07-25
1328,Male,Hamza,UPS,14-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,19-07-25
1329,Male,ACCL,HP Laptop,15-07-25,Battery,Yes,Ready,Shuvo,Laptop,19-07-25
1330,Male,Safa,HP Laptop,15-07-25,OS Problem,No,Ready,Shajal,Monitor,21-07-25
1331,Male,CHO,HP Laptop,15-07-25,New Laptop/CPU,Yes,Ready,Shuvo,Laptop,16-07-25
1332,Male,Safa,UPS,15-07-25,Battery,Yes,Ready,Moshiur,Printer/UPS,19-07-25
1333,Male,CHO,Acer CPU,15-07-25,SSD,Yes,Ready,Shajal,Monitor,16-07-25
1334,Male,CHO,Dell CPU,15-07-25,OS Problem,No,Ready,Sarju,CPU,17-07-25
1335,Male,ALP,Acer CPU,15-07-25,Not Work,No,Ready,Shajal,Monitor,20-07-25
1336,Male,ALP,Epson Printer,15-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,29-07-25
1337,Male,CHO,Lenovo Laptop,15-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,15-07-25
1338,Male,CHO,HP Laptop,15-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,16-07-25
1339,Male,CHO,HP CPU,15-07-25,Motherboard,Yes,Ready,Shajal,Monitor,18-07-25
1340,Male,CHO,HP Laptop,16-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,16-07-25
1341,Male,CHO,Dell Laptop,16-07-25,OS Problem,No,Ready,Shajal,Monitor,17-07-25
1342,Male,CHO,HP Printer,16-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,17-07-05
1343,Male,CHO,HP Printer,16-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,17-07-25
1344,Male,CHO,HP Printer,16-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,18-07-25
1345,Male,CHO,Lenovo Laptop,16-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,17-07-25
1346,Male,Cortz,UPS,16-07-25,Not Work,No,Warranty Issue,Moshiur,Printer/UPS,16-07-25
1347,Male,Cortz,Epson Printer,16-07-25,Not Work,No,Warranty Issue,Moshiur,Printer/UPS,16-07-25
1348,Male,Cortz,Epson Printer,16-07-25,Not Work,No,Warranty Issue,Moshiur,Printer/UPS,16-07-25
1349,Male,CHO,UPS,16-07-25,Battery,Yes,Ready,Moshiur,Printer/UPS,19-07-25
1350,Male,CHO,Dell Laptop,16-07-25,Not Work,No,Ready,Shajal,Monitor,16-07-25
1351,Male,CHO,Asus Monitor,16-07-25,Not Work,No,Ready,Shajal,Monitor,16-07-25
1352,Male,CHO,HP Laptop,17-07-25,Broken Issue,Yes,Ready,Shajal,Monitor,17-07-25
1353,Male,CHO,Acer CPU,17-07-25,Slow/Hang Problem,No,Ready,Sarju,CPU,17-07-25
1354,Male,CHO,Projector,17-07-25,Lamp/Temp,No,Ready,Shajal,Monitor,17-07-25
1355,Male,CHO,Acer Laptop,17-07-25,Keyboard/Touchpad,No,Ready,Shajal,Monitor,17-07-25
1356,Male,CHO,Epson Printer,17-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,21-07-25
1357,Male,CHO,HP Laptop,17-07-25,Slow/Hang Problem,No,Ready,Sarju,CPU,17-07-25
1358,Male,NKK,Acer Monitor,17-07-25,Display,Yes,Replace,Shajal,Monitor,17-07-25
1359,Male,ACML,Canon Printer,17-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,21-07-25
1360,Male,ACML,Acer CPU,17-07-25,Auto-Restart,No,Replace,Sarju,CPU,17-07-25
1361,Male,CHO,Dell Laptop,17-07-25,Not Work,No,Ready,Shajal,Monitor,17-07-25
1362,Male,CHO,Acer Laptop,18-07-25,Battery,Yes,Ready,Shajal,Monitor,20-07-25
1363,Male,CHO,Acer CPU,19-07-25,OS Problem,No,Ready,Shuvo,Laptop,18-07-25
1364,Male,CHO,Lenovo Laptop,19-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,20-07-25
1365,Male,Cortz,Acer CPU,19-07-25,Not Work,No,Ready,Shajal,Monitor,20-07-25
1366,Male,Cortz,Acer Monitor,19-07-25,Display,No,Ready,Shajal,Monitor,19-07-25
1367,Male,CHO,Dell CPU,19-07-25,Not Work,No,Ready,Shajal,Monitor,19-07-25
1368,Male,CHO,Dell CPU,19-07-25,Not Work,No,Ready,Shuvo,Laptop,20-07-25
1369,Male,Arkay,Dell CPU,19-07-25,Not Work,No,Ready,Sarju,CPU,20-07-25
1370,Male,Arkay,Dell CPU,19-07-25,HDD,Yes,Ready,Sarju,CPU,21-07-25
1371,Male,Arkay,Dell CPU,19-07-25,Not Work,No,Ready,Sarju,CPU,21-07-25
1372,Male,Arkay,HP Printer,19-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,21-07-25
1373,Male,Nafa,Acer CPU,19-07-25,Motherboard,Yes,Ready,Shajal,Monitor,21-07-25
1374,Male,Nafa,Acer CPU,19-07-25,Not Work,No,Ready,Shuvo,Laptop,20-07-25
1375,Male,CHO,HP Laptop,19-07-25,Slow/Hang Problem,No,Ready,Shuvo,Laptop,19-07-25
1376,Male,CHO,HP Laptop,20-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,20-07-25
1377,Male,CHO,Canon Printer,20-07-25,Color Problem,No,Ready,Moshiur,Printer/UPS,21-07-25
1378,Male,CHO,Canon Printer,20-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,21-07-25
1379,Male,CHO,Asus CPU,20-07-25,SSD,Yes,Ready,Shuvo,Laptop,21-07-25
1380,Male,CHO,Asus Laptop,20-07-25,OS Problem,No,Ready,Moshiur,Printer/UPS,21-07-25
1381,Male,CHO,Dell Laptop,20-07-25,Keyboard/Touchpad,No,Ready,Shajal,Monitor,21-07-25
1382,Male,ACCL,UPS,20-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,24-07-25
1383,Male,ACCL,UPS,20-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,24-07-25
1384,Male,CHO,HP Printer,20-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,Out
1385,Male,Nafa,UPS,20-07-25,Not Work,No,Replace,Moshiur,Printer/UPS,27-07-25
1386,Male,Nafa,Canon Printer,20-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,27-07-25
1387,Male,ALP,HP Printer,20-07-25,Color Problem,No,Ready,Moshiur,Printer/UPS,28-07-25
1388,Male,ACCL,Dell CPU,20-07-25,Auto-Restart,No,Ready,Shajal,Monitor,19-08-25
1389,Male,CHO,HP Printer,21-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,22-07-25
1390,Male,CHO,Dell CPU,21-07-25,Not Work,No,Ready,Sarju,CPU,21-07-25
1391,Male,CHO,Acer Laptop,21-07-25,SSD,Yes,Ready,Sarju,CPU,21-07-25
1392,Male,CHO,HP Laptop,21-07-25,OS Problem,No,Ready,Shajal,Monitor,21-07-25
1393,Male,Cortz,Canon Printer,21-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,26-07-25
1394,Male,CHO,HP Printer,21-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,25-07-25
1395,Male,CHO,Dell Laptop,21-07-25,Not Work,No,Ready,Shuvo,Laptop,22-07-25
1396,Male,CHO,Lenovo Laptop,21-07-25,SSD,Yes,Ready,Sarju,CPU,22-07-25
1397,Male,CHO,UPS,21-07-25,Battery,Yes,Ready,Moshiur,Printer/UPS,29-07-25
1398,Male,CHO,HP Printer,22-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,23-07-28
1399,Male,CHO,HP Laptop,22-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,22-07-25
1400,Male,CHO,HP Laptop,22-07-25,Battery,Yes,Ready,Shuvo,Laptop,23-07-25
1401,Male,CHO,Lenovo Laptop,22-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,22-07-25
1402,Male,Safa,Dell CPU,22-07-25,Not Work,No,Ready,Shuvo,Laptop,23-07-25
1403,Male,Cortz,Acer Monitor,22-07-25,Display,No,Ready,Shajal,Monitor,22-07-25
1404,Male,Gulshan-29,Dell CPU,22-07-25,SSD,Yes,Ready,Shajal,Monitor,22-07-25
1405,Male,CHO,Dell CPU,22-07-25,OS Problem,No,Ready,Shajal,Monitor,23-07-25
1406,Male,Gulshan-29,UPS,23-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,24-07-25
1407,Male,CHO,HP Printer,23-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,26-07-25
1408,Male,CHO,Lenovo Laptop,24-07-25,Keyboard/Touchpad,No,Ready,Sarju,CPU,27-07-25
1409,Male,CHO,HP Laptop,24-07-25,Battery,Yes,Ready,Shuvo,Laptop,24-07-25
1410,Male,CHO,Acer Monitor,24-07-25,Not Work,No,Ready,Sarju,Monitor,24-07-25
1411,Male,Arkay,Dell CPU,24-07-25,OS Problem,No,Ready,Sarju,CPU,27-07-25
1412,Male,Arkay,UPS,24-07-25,Battery,Yes,Ready,Moshiur,Printer/UPS,30-07-25
1413,Male,CHO,Lenovo CPU,24-07-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,29-07-25
1414,Male,CHO,HP Printer,24-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,29-07-25
1415,Male,Hamza,Acer Laptop,24-07-25,Motherboard,Yes,Ready,Shajal,Monitor,25-07-25
1416,Male,Hamza,Acer Monitor,24-07-25,Display,Yes,Replace,Shajal,Monitor,24-07-25
1417,Male,Hamza,Acer Monitor,24-07-25,Display,No,Ready,Shajal,Monitor,24-07-25
1418,Male,Safa,Dell CPU,24-07-25,OS Problem,No,Ready,Shuvo,Laptop,26-07-25
1419,Male,Nafa,Canon Printer,24-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,26-07-25
1420,Male,Nafa,Epson Printer,24-07-25,Color Problem,No,Ready,Moshiur,Printer/UPS,26-07-25
1421,Male,ACML,Canon Printer,24-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,03-08-25
1422,Male,ACML,Canon Printer,24-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,03-08-25
1423,Male,ACCL,Acer CPU,26-07-25,HDD,Yes,Ready,Sarju,CPU,27-07-25
1424,Male,Arkay,Dell CPU,26-07-25,HDD,Yes,Ready,Shajal,Monitor,29-07-25
1425,Male,Arkay,Asus Monitor,26-07-25,Not Work,No,Replace,Shajal,Monitor,27-07-25
1426,Male,Arkay,HP Printer,26-07-26,Print Problem,No,Ready,Moshiur,Printer/UPS,02-08-25
1427,Male,CHO,HP Laptop,27-07-25,Not Work,No,Ready,Shajal,Monitor,29-07-25
1428,Male,CHO,HP CPU,27-07-25,OS Problem,No,Ready,Sarju,CPU,27-07-25
1429,Male,CHO,HP Laptop,27-07-25,Slow/Hang Problem,No,Ready,Shajal,Monitor,27-07-25
1430,Male,Gulshan-29,Acer CPU,27-07-25,OS Problem,No,Ready,Shajal,Monitor,27-07-25
1431,Male,CHO,HP Laptop,27-07-25,Not Work,No,Ready,Sarju,CPU,27-07-25
1432,Male,Safa,Dell CPU,27-07-25,Motherboard,Yes,Ready,Sarju,CPU,28-07-25
1433,Male,Badda Parking,Dell CPU,27-07-25,SSD,Yes,Ready,Sarju,CPU,28-07-25
1434,Male,KM,HP Printer,27-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,29-07-25
1435,Male,ACCL,HP Printer,27-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,30-07-25
1436,Male,CHO,HP Laptop,28-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,29-07-25
1437,Male,CHO,Dell CPU,28-07-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,29-07-25
1438,Male,CHO,Canon Printer,28-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,01-08-25
1439,Male,CHO,Lenovo Laptop,28-07-25,Slow/Hang Problem,No,Ready,Sarju,CPU,28-07-25
1440,Male,Safa,Dell CPU,28-07-25,Slow/Hang Problem,No,Ready,Sarju,CPU,01-08-25
1441,Male,Safa,Dell CPU,28-07-25,Not Work,No,Ready,Shajal,Monitor,28-07-25
1442,Male,Azmeri,Lenovo Monitor,28-07-25,Not Work,No,Warranty Issue,Shajal,Monitor,04-08-25
1443,Male,CHO,Asus Laptop,28-07-25,Slow/Hang Problem,No,Ready,Shuvo,Laptop,30-07-25
1444,Male,CHO,UPS,28-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,04-08-25
1445,Male,CHO,HP Laptop,29-07-25,HDD,Yes,Ready,Sarju,CPU,29-07-25
1446,Male,CHO,Lenovo Laptop,29-07-25,Keyboard/Touchpad,No,Ready,Sarju,CPU,30-07-25
1447,Male,CHO,Dell Laptop,29-07-25,Motherboard,Yes,Ready,Moshiur,Printer/UPS,29-07-25
1448,Male,CHO,Dell Laptop,29-07-25,Slow/Hang Problem,No,Ready,Moshiur,Printer/UPS,29-07-25
1449,Male,Cortz,Canon Printer,29-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,07-08-25
1450,Male,Nafa,Acer Monitor,29-07-25,Display,No,Ready,Shajal,Monitor,29-07-25
1451,Male,CHO,Acer CPU,29-07-25,Not Work,No,Ready,Shajal,Monitor,30-07-25
1452,Male,CHO,UPS,29-07-25,Battery,Yes,Ready,Moshiur,Printer/UPS,04-08-25
1453,Male,CHO,Acer Laptop,29-07-25,Battery,Yes,Ready,Sarju,CPU,30-07-25
1454,Male,CHO,Acer CPU,30-07-25,SSD,Yes,Ready,Sarju,CPU,30-07-25
1455,Male,CHO,UPS,30-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,05-08-25
1456,Male,CHO,HP Laptop,30-07-25,Battery,Yes,Ready,Moshiur,Printer/UPS,31-07-25
1457,Male,CHO,Lenovo Laptop,30-07-25,Motherboard,Yes,Ready,Shajal,Monitor,02-08-25
1458,Male,CHO,HP Printer,30-07-25,Not Work,No,Ready,Moshiur,Printer/UPS,03-08-25
1459,Male,CHO,Dell Laptop,30-07-25,Auto-Restart,No,Ready,Shajal,Monitor,02-08-25
1460,Male,CHO,HP CPU,30-07-25,OS Problem,No,Ready,Sarju,CPU,03-08-25
1461,Male,CHO,Canon Printer,30-07-25,Print Problem,No,Ready,Moshiur,Printer/UPS,31-07-25
1462,Male,ACML,Dell CPU,30-07-25,Auto-Restart,No,Ready,Shajal,Monitor,12-08-25
